Home Team,Away Team,Winner,Home Win
New York Yankees,Cleveland Guardians,New York Yankees,True
Tampa Bay Rays,Texas Rangers,Tampa Bay Rays,True
Tampa Bay Rays,Miami Marlins,Miami Marlins,False
Pittsburgh Pirates,Philadelphia Phillies,Philadelphia Phillies,False
Washington Nationals,Texas Rangers,Washington Nationals,True
New York Yankees,Boston Red Sox,New York Yankees,True
Cincinnati Reds,Arizona Diamondbacks,Cincinnati Reds,True
Detroit Tigers,Chicago Cubs,Detroit Tigers,True
Cleveland Guardians,Houston Astros,Cleveland Guardians,True
Chicago White Sox,Kansas City Royals,Kansas City Royals,False
Minnesota Twins,Toronto Blue Jays,Minnesota Twins,True
Milwaukee Brewers,San Diego Padres,Milwaukee Brewers,True
St. Louis Cardinals,Los Angeles Dodgers,St. Louis Cardinals,True
Colorado Rockies,New York Mets,New York Mets,False
Los Angeles Angels,Seattle Mariners,Los Angeles Angels,True
Athletics,Baltimore Orioles,Athletics,True
San Francisco Giants,Atlanta Braves,San Francisco Giants,True
Detroit Tigers,Chicago Cubs,Detroit Tigers,True
Cincinnati Reds,Arizona Diamondbacks,Cincinnati Reds,True
Minnesota Twins,Toronto Blue Jays,Toronto Blue Jays,False
St. Louis Cardinals,Los Angeles Dodgers,St. Louis Cardinals,True
Washington Nationals,Texas Rangers,Washington Nationals,True
Pittsburgh Pirates,Philadelphia Phillies,Pittsburgh Pirates,True
San Francisco Giants,Atlanta Braves,San Francisco Giants,True
Cincinnati Reds,Arizona Diamondbacks,Cincinnati Reds,True
Cleveland Guardians,Houston Astros,Cleveland Guardians,True
Chicago White Sox,Kansas City Royals,Chicago White Sox,True
Tampa Bay Rays,Miami Marlins,Tampa Bay Rays,True
New York Yankees,Boston Red Sox,New York Yankees,True
Milwaukee Brewers,San Diego Padres,Milwaukee Brewers,True
Los Angeles Angels,Seattle Mariners,Seattle Mariners,False
Colorado Rockies,New York Mets,New York Mets,False
Athletics,Baltimore Orioles,Baltimore Orioles,False
Tampa Bay Rays,Miami Marlins,Tampa Bay Rays,True
Milwaukee Brewers,San Diego Padres,Milwaukee Brewers,True
Washington Nationals,Texas Rangers,Washington Nationals,True
Pittsburgh Pirates,Philadelphia Phillies,Philadelphia Phillies,False
Cincinnati Reds,Arizona Diamondbacks,Arizona Diamondbacks,False
Detroit Tigers,Chicago Cubs,Detroit Tigers,True
Cleveland Guardians,Houston Astros,Houston Astros,False
Minnesota Twins,Toronto Blue Jays,Toronto Blue Jays,False
Chicago White Sox,Kansas City Royals,Chicago White Sox,True
St. Louis Cardinals,Los Angeles Dodgers,Los Angeles Dodgers,False
Colorado Rockies,New York Mets,New York Mets,False
Athletics,Baltimore Orioles,Baltimore Orioles,False
San Francisco Giants,Atlanta Braves,Atlanta Braves,False
Los Angeles Angels,Seattle Mariners,Los Angeles Angels,True
New York Yankees,Boston Red Sox,New York Yankees,True
Cleveland Guardians,Cincinnati Reds,Cleveland Guardians,True
Pittsburgh Pirates,Miami Marlins,Pittsburgh Pirates,True
Philadelphia Phillies,Chicago Cubs,Chicago Cubs,False
Boston Red Sox,Tampa Bay Rays,Boston Red Sox,True
Milwaukee Brewers,Atlanta Braves,Atlanta Braves,False
St. Louis Cardinals,Toronto Blue Jays,St. Louis Cardinals,True
Los Angeles Angels,Athletics,Los Angeles Angels,True
San Diego Padres,Los Angeles Dodgers,San Diego Padres,True
Arizona Diamondbacks,Seattle Mariners,Seattle Mariners,False
Baltimore Orioles,Detroit Tigers,Baltimore Orioles,True
Cleveland Guardians,Cincinnati Reds,Cleveland Guardians,True
Pittsburgh Pirates,Miami Marlins,Pittsburgh Pirates,True
Philadelphia Phillies,Chicago Cubs,Philadelphia Phillies,True
New York Mets,Washington Nationals,New York Mets,True
Boston Red Sox,Tampa Bay Rays,Boston Red Sox,True
Minnesota Twins,Texas Rangers,Minnesota Twins,True
Kansas City Royals,New York Yankees,New York Yankees,False
Milwaukee Brewers,Atlanta Braves,Milwaukee Brewers,True
St. Louis Cardinals,Toronto Blue Jays,St. Louis Cardinals,True
Houston Astros,Chicago White Sox,Houston Astros,True
Colorado Rockies,San Francisco Giants,San Francisco Giants,False
Los Angeles Angels,Athletics,Athletics,False
San Diego Padres,Los Angeles Dodgers,Los Angeles Dodgers,False
Arizona Diamondbacks,Seattle Mariners,Arizona Diamondbacks,True
Pittsburgh Pirates,Miami Marlins,Miami Marlins,False
Philadelphia Phillies,Chicago Cubs,Philadelphia Phillies,True
Cleveland Guardians,Cincinnati Reds,Cleveland Guardians,True
Milwaukee Brewers,Atlanta Braves,Milwaukee Brewers,True
St. Louis Cardinals,Toronto Blue Jays,St. Louis Cardinals,True
Arizona Diamondbacks,Seattle Mariners,Arizona Diamondbacks,True
Los Angeles Angels,Athletics,Athletics,False
San Diego Padres,Los Angeles Dodgers,San Diego Padres,True
Baltimore Orioles,Detroit Tigers,Detroit Tigers,False
New York Mets,Washington Nationals,New York Mets,True
Boston Red Sox,Tampa Bay Rays,Tampa Bay Rays,False
Minnesota Twins,Texas Rangers,Minnesota Twins,True
Kansas City Royals,New York Yankees,New York Yankees,False
Houston Astros,Chicago White Sox,Houston Astros,True
Colorado Rockies,San Francisco Giants,Colorado Rockies,True
New York Mets,Washington Nationals,New York Mets,True
Minnesota Twins,Texas Rangers,Minnesota Twins,True
Colorado Rockies,San Francisco Giants,San Francisco Giants,False
Baltimore Orioles,Detroit Tigers,Detroit Tigers,False
Kansas City Royals,New York Yankees,Kansas City Royals,True
Milwaukee Brewers,St. Louis Cardinals,Milwaukee Brewers,True
Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,True
Houston Astros,Chicago White Sox,Houston Astros,True
Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,True
Philadelphia Phillies,Toronto Blue Jays,Philadelphia Phillies,True
Washington Nationals,Miami Marlins,Washington Nationals,True
Baltimore Orioles,Los Angeles Angels,Baltimore Orioles,True
Detroit Tigers,Cincinnati Reds,Detroit Tigers,True
New York Mets,Tampa Bay Rays,Tampa Bay Rays,False
Boston Red Sox,New York Yankees,Boston Red Sox,True
Atlanta Braves,Colorado Rockies,Atlanta Braves,True
Texas Rangers,Chicago White Sox,Texas Rangers,True
Kansas City Royals,Athletics,Athletics,False
Houston Astros,Minnesota Twins,Houston Astros,True
Milwaukee Brewers,St. Louis Cardinals,Milwaukee Brewers,True
Arizona Diamondbacks,San Diego Padres,Arizona Diamondbacks,True
Seattle Mariners,Cleveland Guardians,Seattle Mariners,True
Los Angeles Dodgers,San Francisco Giants,San Francisco Giants,False
Washington Nationals,Miami Marlins,Miami Marlins,False
Detroit Tigers,Cincinnati Reds,Detroit Tigers,True
Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,True
Baltimore Orioles,Los Angeles Angels,Los Angeles Angels,False
Philadelphia Phillies,Toronto Blue Jays,Toronto Blue Jays,False
Texas Rangers,Chicago White Sox,Texas Rangers,True
Kansas City Royals,Athletics,Athletics,False
New York Mets,Tampa Bay Rays,New York Mets,True
Houston Astros,Minnesota Twins,Houston Astros,True
Atlanta Braves,Colorado Rockies,Atlanta Braves,True
Milwaukee Brewers,St. Louis Cardinals,Milwaukee Brewers,True
Arizona Diamondbacks,San Diego Padres,Arizona Diamondbacks,True
Boston Red Sox,New York Yankees,Boston Red Sox,True
Seattle Mariners,Cleveland Guardians,Seattle Mariners,True
Los Angeles Dodgers,San Francisco Giants,San Francisco Giants,False
Detroit Tigers,Cincinnati Reds,Detroit Tigers,True
Baltimore Orioles,Los Angeles Angels,Baltimore Orioles,True
Philadelphia Phillies,Toronto Blue Jays,Philadelphia Phillies,True
Atlanta Braves,Colorado Rockies,Colorado Rockies,False
Washington Nationals,Miami Marlins,Miami Marlins,False
Boston Red Sox,New York Yankees,Boston Red Sox,True
New York Mets,Tampa Bay Rays,Tampa Bay Rays,False
Kansas City Royals,Athletics,Athletics,False
Houston Astros,Minnesota Twins,Houston Astros,True
Milwaukee Brewers,St. Louis Cardinals,St. Louis Cardinals,False
Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,True
Texas Rangers,Chicago White Sox,Chicago White Sox,False
Arizona Diamondbacks,San Diego Padres,San Diego Padres,False
Seattle Mariners,Cleveland Guardians,Seattle Mariners,True
Los Angeles Dodgers,San Francisco Giants,Los Angeles Dodgers,True
Miami Marlins,Philadelphia Phillies,Miami Marlins,True
Washington Nationals,Colorado Rockies,Colorado Rockies,False
New York Yankees,Los Angeles Angels,New York Yankees,True
Tampa Bay Rays,Baltimore Orioles,Tampa Bay Rays,True
Seattle Mariners,Boston Red Sox,Boston Red Sox,False
Athletics,Houston Astros,Athletics,True
Los Angeles Dodgers,San Diego Padres,Los Angeles Dodgers,True
Miami Marlins,Philadelphia Phillies,Miami Marlins,True
Detroit Tigers,Pittsburgh Pirates,Detroit Tigers,True
Washington Nationals,Colorado Rockies,Washington Nationals,True
New York Yankees,Los Angeles Angels,Los Angeles Angels,False
Toronto Blue Jays,Arizona Diamondbacks,Toronto Blue Jays,True
Cincinnati Reds,Minnesota Twins,Cincinnati Reds,True
Atlanta Braves,New York Mets,Atlanta Braves,True
Tampa Bay Rays,Baltimore Orioles,Tampa Bay Rays,True
Chicago White Sox,St. Louis Cardinals,St. Louis Cardinals,False
Texas Rangers,Kansas City Royals,Texas Rangers,True
Chicago Cubs,Milwaukee Brewers,Chicago Cubs,True
Seattle Mariners,Boston Red Sox,Boston Red Sox,False
San Francisco Giants,Cleveland Guardians,San Francisco Giants,True
Athletics,Houston Astros,Houston Astros,False
Los Angeles Dodgers,San Diego Padres,Los Angeles Dodgers,True
Seattle Mariners,Boston Red Sox,Seattle Mariners,True
Miami Marlins,Philadelphia Phillies,Miami Marlins,True
Washington Nationals,Colorado Rockies,Washington Nationals,True
New York Yankees,Los Angeles Angels,Los Angeles Angels,False
Toronto Blue Jays,Arizona Diamondbacks,Arizona Diamondbacks,False
Cincinnati Reds,Minnesota Twins,Cincinnati Reds,True
Atlanta Braves,New York Mets,Atlanta Braves,True
Tampa Bay Rays,Baltimore Orioles,Tampa Bay Rays,True
Texas Rangers,Kansas City Royals,Kansas City Royals,False
San Francisco Giants,Cleveland Guardians,Cleveland Guardians,False
Athletics,Houston Astros,Athletics,True
Los Angeles Dodgers,San Diego Padres,Los Angeles Dodgers,True
Detroit Tigers,Pittsburgh Pirates,Detroit Tigers,True
Chicago White Sox,St. Louis Cardinals,St. Louis Cardinals,False
Chicago Cubs,Milwaukee Brewers,Chicago Cubs,True
Cincinnati Reds,Minnesota Twins,Cincinnati Reds,True
Washington Nationals,Colorado Rockies,Washington Nationals,True
New York Yankees,Los Angeles Angels,Los Angeles Angels,False
Detroit Tigers,Pittsburgh Pirates,Detroit Tigers,True
Detroit Tigers,Pittsburgh Pirates,Pittsburgh Pirates,False
Chicago White Sox,St. Louis Cardinals,St. Louis Cardinals,False
Chicago White Sox,St. Louis Cardinals,Chicago White Sox,True
Chicago Cubs,Milwaukee Brewers,Chicago Cubs,True
Texas Rangers,Kansas City Royals,Texas Rangers,True
Toronto Blue Jays,Arizona Diamondbacks,Arizona Diamondbacks,False
San Francisco Giants,Cleveland Guardians,San Francisco Giants,True
Miami Marlins,Philadelphia Phillies,Philadelphia Phillies,False
Atlanta Braves,New York Mets,Atlanta Braves,True
Tampa Bay Rays,Baltimore Orioles,Tampa Bay Rays,True
Athletics,Houston Astros,Houston Astros,False
Los Angeles Dodgers,San Diego Padres,Los Angeles Dodgers,True
Chicago Cubs,Seattle Mariners,Chicago Cubs,True
Pittsburgh Pirates,Texas Rangers,Texas Rangers,False
Tampa Bay Rays,Detroit Tigers,Detroit Tigers,False
New York Yankees,Baltimore Orioles,New York Yankees,True
Toronto Blue Jays,Chicago White Sox,Toronto Blue Jays,True
Miami Marlins,Atlanta Braves,Atlanta Braves,False
St. Louis Cardinals,Cincinnati Reds,Cincinnati Reds,False
Philadelphia Phillies,New York Mets,Philadelphia Phillies,True
Minnesota Twins,Milwaukee Brewers,Minnesota Twins,True
Colorado Rockies,Arizona Diamondbacks,Arizona Diamondbacks,False
Los Angeles Angels,Houston Astros,Houston Astros,False
San Diego Padres,Kansas City Royals,San Diego Padres,True
Athletics,Cleveland Guardians,Athletics,True
Los Angeles Dodgers,Washington Nationals,Los Angeles Dodgers,True
San Francisco Giants,Boston Red Sox,San Francisco Giants,True
Tampa Bay Rays,Detroit Tigers,Detroit Tigers,False
New York Yankees,Baltimore Orioles,New York Yankees,True
Minnesota Twins,Milwaukee Brewers,Minnesota Twins,True
St. Louis Cardinals,Cincinnati Reds,Cincinnati Reds,False
Chicago Cubs,Seattle Mariners,Chicago Cubs,True
Toronto Blue Jays,Chicago White Sox,Toronto Blue Jays,True
San Francisco Giants,Boston Red Sox,Boston Red Sox,False
Pittsburgh Pirates,Texas Rangers,Texas Rangers,False
Miami Marlins,Atlanta Braves,Atlanta Braves,False
San Diego Padres,Kansas City Royals,San Diego Padres,True
Philadelphia Phillies,New York Mets,New York Mets,False
Colorado Rockies,Arizona Diamondbacks,Arizona Diamondbacks,False
Los Angeles Angels,Houston Astros,Los Angeles Angels,True
Athletics,Cleveland Guardians,Cleveland Guardians,False
Los Angeles Dodgers,Washington Nationals,Los Angeles Dodgers,True
New York Yankees,Baltimore Orioles,New York Yankees,True
Tampa Bay Rays,Detroit Tigers,Tampa Bay Rays,True
Pittsburgh Pirates,Texas Rangers,Texas Rangers,False
Toronto Blue Jays,Chicago White Sox,Toronto Blue Jays,True
Miami Marlins,Atlanta Braves,Miami Marlins,True
Minnesota Twins,Milwaukee Brewers,Minnesota Twins,True
St. Louis Cardinals,Cincinnati Reds,St. Louis Cardinals,True
Chicago Cubs,Seattle Mariners,Chicago Cubs,True
Colorado Rockies,Arizona Diamondbacks,Arizona Diamondbacks,False
Athletics,Cleveland Guardians,Athletics,True
San Francisco Giants,Boston Red Sox,San Francisco Giants,True
Los Angeles Angels,Houston Astros,Los Angeles Angels,True
Los Angeles Dodgers,Washington Nationals,Washington Nationals,False
San Diego Padres,Kansas City Royals,Kansas City Royals,False
Philadelphia Phillies,New York Mets,Philadelphia Phillies,True
Baltimore Orioles,Texas Rangers,Baltimore Orioles,True
New York Mets,Atlanta Braves,New York Mets,True
Cincinnati Reds,New York Yankees,Cincinnati Reds,True
Minnesota Twins,Seattle Mariners,Seattle Mariners,False
Chicago White Sox,Arizona Diamondbacks,Arizona Diamondbacks,False
Milwaukee Brewers,Pittsburgh Pirates,Pittsburgh Pirates,False
St. Louis Cardinals,Chicago Cubs,St. Louis Cardinals,True
Los Angeles Angels,Boston Red Sox,Boston Red Sox,False
San Diego Padres,Washington Nationals,Washington Nationals,False
Baltimore Orioles,Texas Rangers,Texas Rangers,False
Detroit Tigers,Athletics,Detroit Tigers,True
Cleveland Guardians,Toronto Blue Jays,Cleveland Guardians,True
New York Mets,Atlanta Braves,New York Mets,True
Cincinnati Reds,New York Yankees,Cincinnati Reds,True
Kansas City Royals,Tampa Bay Rays,Kansas City Royals,True
Minnesota Twins,Seattle Mariners,Seattle Mariners,False
Chicago White Sox,Arizona Diamondbacks,Chicago White Sox,True
Milwaukee Brewers,Pittsburgh Pirates,Milwaukee Brewers,True
St. Louis Cardinals,Chicago Cubs,St. Louis Cardinals,True
Houston Astros,Philadelphia Phillies,Houston Astros,True
Colorado Rockies,Los Angeles Dodgers,Colorado Rockies,True
Los Angeles Angels,Boston Red Sox,Los Angeles Angels,True
San Diego Padres,Washington Nationals,San Diego Padres,True
San Francisco Giants,Miami Marlins,Miami Marlins,False
Chicago White Sox,Arizona Diamondbacks,Chicago White Sox,True
Milwaukee Brewers,Pittsburgh Pirates,Milwaukee Brewers,True
Los Angeles Angels,Boston Red Sox,Boston Red Sox,False
San Diego Padres,Washington Nationals,San Diego Padres,True
Baltimore Orioles,Texas Rangers,Baltimore Orioles,True
Detroit Tigers,Athletics,Detroit Tigers,True
Cleveland Guardians,Toronto Blue Jays,Toronto Blue Jays,False
New York Mets,Atlanta Braves,New York Mets,True
Cincinnati Reds,New York Yankees,Cincinnati Reds,True
Kansas City Royals,Tampa Bay Rays,Kansas City Royals,True
Minnesota Twins,Seattle Mariners,Seattle Mariners,False
St. Louis Cardinals,Chicago Cubs,Chicago Cubs,False
Houston Astros,Philadelphia Phillies,Philadelphia Phillies,False
Colorado Rockies,Los Angeles Dodgers,Los Angeles Dodgers,False
San Francisco Giants,Miami Marlins,San Francisco Giants,True
Detroit Tigers,Athletics,Detroit Tigers,True
Cleveland Guardians,Toronto Blue Jays,Toronto Blue Jays,False
Minnesota Twins,Seattle Mariners,Minnesota Twins,True
Kansas City Royals,Tampa Bay Rays,Kansas City Royals,True
Houston Astros,Philadelphia Phillies,Houston Astros,True
St. Louis Cardinals,Chicago Cubs,St. Louis Cardinals,True
Colorado Rockies,Los Angeles Dodgers,Colorado Rockies,True
San Francisco Giants,Miami Marlins,San Francisco Giants,True
New York Mets,Atlanta Braves,New York Mets,True
Pittsburgh Pirates,New York Mets,New York Mets,False
Baltimore Orioles,Tampa Bay Rays,Baltimore Orioles,True
New York Yankees,Athletics,New York Yankees,True
Cincinnati Reds,San Diego Padres,San Diego Padres,False
Cleveland Guardians,St. Louis Cardinals,Cleveland Guardians,True
Boston Red Sox,Toronto Blue Jays,Boston Red Sox,True
Detroit Tigers,Minnesota Twins,Detroit Tigers,True
Atlanta Braves,Philadelphia Phillies,Philadelphia Phillies,False
Chicago White Sox,San Francisco Giants,Chicago White Sox,True
Texas Rangers,Seattle Mariners,Texas Rangers,True
Houston Astros,Chicago Cubs,Houston Astros,True
Kansas City Royals,Los Angeles Dodgers,Kansas City Royals,True
Milwaukee Brewers,Colorado Rockies,Colorado Rockies,False
Los Angeles Angels,Washington Nationals,Washington Nationals,False
Arizona Diamondbacks,Miami Marlins,Arizona Diamondbacks,True
New York Yankees,Athletics,New York Yankees,True
Detroit Tigers,Minnesota Twins,Minnesota Twins,False
Pittsburgh Pirates,New York Mets,Pittsburgh Pirates,True
Baltimore Orioles,Tampa Bay Rays,Tampa Bay Rays,False
Texas Rangers,Seattle Mariners,Texas Rangers,True
Kansas City Royals,Los Angeles Dodgers,Los Angeles Dodgers,False
Cincinnati Reds,San Diego Padres,San Diego Padres,False
Cleveland Guardians,St. Louis Cardinals,St. Louis Cardinals,False
Boston Red Sox,Toronto Blue Jays,Boston Red Sox,True
Chicago White Sox,San Francisco Giants,San Francisco Giants,False
Arizona Diamondbacks,Miami Marlins,Arizona Diamondbacks,True
Milwaukee Brewers,Colorado Rockies,Milwaukee Brewers,True
Houston Astros,Chicago Cubs,Chicago Cubs,False
Atlanta Braves,Philadelphia Phillies,Atlanta Braves,True
Los Angeles Angels,Washington Nationals,Los Angeles Angels,True
Cleveland Guardians,St. Louis Cardinals,Cleveland Guardians,True
Pittsburgh Pirates,New York Mets,New York Mets,False
Baltimore Orioles,Tampa Bay Rays,Baltimore Orioles,True
Boston Red Sox,Toronto Blue Jays,Toronto Blue Jays,False
Atlanta Braves,Philadelphia Phillies,Philadelphia Phillies,False
New York Yankees,Athletics,New York Yankees,True
Cincinnati Reds,San Diego Padres,San Diego Padres,False
Houston Astros,Chicago Cubs,Chicago Cubs,False
Kansas City Royals,Los Angeles Dodgers,Kansas City Royals,True
Chicago White Sox,San Francisco Giants,San Francisco Giants,False
Milwaukee Brewers,Colorado Rockies,Milwaukee Brewers,True
Texas Rangers,Seattle Mariners,Seattle Mariners,False
Los Angeles Angels,Washington Nationals,Washington Nationals,False
Arizona Diamondbacks,Miami Marlins,Arizona Diamondbacks,True
Detroit Tigers,Minnesota Twins,Detroit Tigers,True
Philadelphia Phillies,San Diego Padres,Philadelphia Phillies,True
Pittsburgh Pirates,St. Louis Cardinals,St. Louis Cardinals,False
Toronto Blue Jays,New York Yankees,New York Yankees,False
Boston Red Sox,Cincinnati Reds,Boston Red Sox,True
Tampa Bay Rays,Athletics,Tampa Bay Rays,True
Texas Rangers,Baltimore Orioles,Texas Rangers,True
Seattle Mariners,Kansas City Royals,Seattle Mariners,True
Arizona Diamondbacks,San Francisco Giants,Arizona Diamondbacks,True
Toronto Blue Jays,New York Yankees,Toronto Blue Jays,True
Philadelphia Phillies,San Diego Padres,San Diego Padres,False
Pittsburgh Pirates,St. Louis Cardinals,St. Louis Cardinals,False
Miami Marlins,Minnesota Twins,Miami Marlins,True
Washington Nationals,Detroit Tigers,Washington Nationals,True
Tampa Bay Rays,Athletics,Tampa Bay Rays,True
Boston Red Sox,Cincinnati Reds,Boston Red Sox,True
New York Mets,Milwaukee Brewers,Milwaukee Brewers,False
Atlanta Braves,Los Angeles Angels,Los Angeles Angels,False
Chicago Cubs,Cleveland Guardians,Chicago Cubs,True
Texas Rangers,Baltimore Orioles,Texas Rangers,True
Colorado Rockies,Houston Astros,Houston Astros,False
Seattle Mariners,Kansas City Royals,Kansas City Royals,False
Arizona Diamondbacks,San Francisco Giants,San Francisco Giants,False
Los Angeles Dodgers,Chicago White Sox,Los Angeles Dodgers,True
Tampa Bay Rays,Athletics,Athletics,False
Pittsburgh Pirates,St. Louis Cardinals,St. Louis Cardinals,False
Philadelphia Phillies,San Diego Padres,Philadelphia Phillies,True
Miami Marlins,Minnesota Twins,Minnesota Twins,False
Washington Nationals,Detroit Tigers,Washington Nationals,True
Toronto Blue Jays,New York Yankees,Toronto Blue Jays,True
Boston Red Sox,Cincinnati Reds,Boston Red Sox,True
New York Mets,Milwaukee Brewers,New York Mets,True
Atlanta Braves,Los Angeles Angels,Los Angeles Angels,False
Chicago Cubs,Cleveland Guardians,Chicago Cubs,True
Texas Rangers,Baltimore Orioles,Texas Rangers,True
Colorado Rockies,Houston Astros,Houston Astros,False
Seattle Mariners,Kansas City Royals,Kansas City Royals,False
Arizona Diamondbacks,San Francisco Giants,San Francisco Giants,False
Los Angeles Dodgers,Chicago White Sox,Los Angeles Dodgers,True
Miami Marlins,Minnesota Twins,Miami Marlins,True
Colorado Rockies,Houston Astros,Houston Astros,False
Washington Nationals,Detroit Tigers,Washington Nationals,True
Toronto Blue Jays,New York Yankees,Toronto Blue Jays,True
New York Mets,Milwaukee Brewers,New York Mets,True
Atlanta Braves,Los Angeles Angels,Atlanta Braves,True
Chicago Cubs,Cleveland Guardians,Chicago Cubs,True
Arizona Diamondbacks,San Francisco Giants,Arizona Diamondbacks,True
Seattle Mariners,Kansas City Royals,Kansas City Royals,False
Los Angeles Dodgers,Chicago White Sox,Los Angeles Dodgers,True
Washington Nationals,Boston Red Sox,Washington Nationals,True
Philadelphia Phillies,Cincinnati Reds,Philadelphia Phillies,True
Chicago Cubs,St. Louis Cardinals,Chicago Cubs,True
New York Mets,New York Yankees,New York Mets,True
Seattle Mariners,Pittsburgh Pirates,Seattle Mariners,True
Minnesota Twins,Tampa Bay Rays,Minnesota Twins,True
San Diego Padres,Texas Rangers,San Diego Padres,True
Toronto Blue Jays,Los Angeles Angels,Los Angeles Angels,False
Cleveland Guardians,Detroit Tigers,Cleveland Guardians,True
Miami Marlins,Milwaukee Brewers,Milwaukee Brewers,False
Atlanta Braves,Baltimore Orioles,Atlanta Braves,True
Colorado Rockies,Chicago White Sox,Colorado Rockies,True
Los Angeles Dodgers,Houston Astros,Los Angeles Dodgers,True
Arizona Diamondbacks,Kansas City Royals,Arizona Diamondbacks,True
Athletics,San Francisco Giants,Athletics,True
Minnesota Twins,Tampa Bay Rays,Minnesota Twins,True
Chicago Cubs,St. Louis Cardinals,Chicago Cubs,True
Toronto Blue Jays,Los Angeles Angels,Toronto Blue Jays,True
Washington Nationals,Boston Red Sox,Boston Red Sox,False
Philadelphia Phillies,Cincinnati Reds,Cincinnati Reds,False
Arizona Diamondbacks,Kansas City Royals,Arizona Diamondbacks,True
Atlanta Braves,Baltimore Orioles,Atlanta Braves,True
New York Mets,New York Yankees,New York Mets,True
Miami Marlins,Milwaukee Brewers,Milwaukee Brewers,False
Cleveland Guardians,Detroit Tigers,Cleveland Guardians,True
Los Angeles Dodgers,Houston Astros,Los Angeles Dodgers,True
Colorado Rockies,Chicago White Sox,Colorado Rockies,True
San Diego Padres,Texas Rangers,Texas Rangers,False
Athletics,San Francisco Giants,San Francisco Giants,False
Seattle Mariners,Pittsburgh Pirates,Seattle Mariners,True
Atlanta Braves,Baltimore Orioles,Baltimore Orioles,False
Washington Nationals,Boston Red Sox,Boston Red Sox,False
Philadelphia Phillies,Cincinnati Reds,Philadelphia Phillies,True
Toronto Blue Jays,Los Angeles Angels,Los Angeles Angels,False
Cleveland Guardians,Detroit Tigers,Cleveland Guardians,True
New York Mets,New York Yankees,New York Mets,True
Miami Marlins,Milwaukee Brewers,Miami Marlins,True
Minnesota Twins,Tampa Bay Rays,Tampa Bay Rays,False
Chicago Cubs,St. Louis Cardinals,Chicago Cubs,True
Colorado Rockies,Chicago White Sox,Colorado Rockies,True
Arizona Diamondbacks,Kansas City Royals,Arizona Diamondbacks,True
Los Angeles Dodgers,Houston Astros,Los Angeles Dodgers,True
Seattle Mariners,Pittsburgh Pirates,Pittsburgh Pirates,False
San Diego Padres,Texas Rangers,San Diego Padres,True
Athletics,San Francisco Giants,Athletics,True
Detroit Tigers,Tampa Bay Rays,Detroit Tigers,True
Boston Red Sox,Colorado Rockies,Boston Red Sox,True
Cincinnati Reds,Miami Marlins,Cincinnati Reds,True
Kansas City Royals,Pittsburgh Pirates,Pittsburgh Pirates,False
Chicago White Sox,Toronto Blue Jays,Toronto Blue Jays,False
Milwaukee Brewers,Los Angeles Dodgers,Milwaukee Brewers,True
Houston Astros,Cleveland Guardians,Cleveland Guardians,False
Los Angeles Angels,Texas Rangers,Los Angeles Angels,True
San Diego Padres,Arizona Diamondbacks,San Diego Padres,True
San Francisco Giants,Philadelphia Phillies,San Francisco Giants,True
Baltimore Orioles,New York Mets,Baltimore Orioles,True
Detroit Tigers,Tampa Bay Rays,Detroit Tigers,True
New York Yankees,Seattle Mariners,New York Yankees,True
Boston Red Sox,Colorado Rockies,Colorado Rockies,False
Cincinnati Reds,Miami Marlins,Cincinnati Reds,True
Kansas City Royals,Pittsburgh Pirates,Kansas City Royals,True
Minnesota Twins,Chicago Cubs,Chicago Cubs,False
Chicago White Sox,Toronto Blue Jays,Toronto Blue Jays,False
Milwaukee Brewers,Los Angeles Dodgers,Los Angeles Dodgers,False
St. Louis Cardinals,Washington Nationals,St. Louis Cardinals,True
Houston Astros,Cleveland Guardians,Cleveland Guardians,False
Los Angeles Angels,Texas Rangers,Los Angeles Angels,True
San Diego Padres,Arizona Diamondbacks,San Diego Padres,True
San Francisco Giants,Philadelphia Phillies,Philadelphia Phillies,False
Athletics,Atlanta Braves,Atlanta Braves,False
Detroit Tigers,Tampa Bay Rays,Tampa Bay Rays,False
Chicago White Sox,Toronto Blue Jays,Chicago White Sox,True
Milwaukee Brewers,Los Angeles Dodgers,Los Angeles Dodgers,False
San Francisco Giants,Philadelphia Phillies,Philadelphia Phillies,False
Baltimore Orioles,New York Mets,New York Mets,False
New York Yankees,Seattle Mariners,New York Yankees,True
Boston Red Sox,Colorado Rockies,Boston Red Sox,True
Cincinnati Reds,Miami Marlins,Miami Marlins,False
Kansas City Royals,Pittsburgh Pirates,Pittsburgh Pirates,False
Minnesota Twins,Chicago Cubs,Minnesota Twins,True
St. Louis Cardinals,Washington Nationals,St. Louis Cardinals,True
Houston Astros,Cleveland Guardians,Houston Astros,True
Los Angeles Angels,Texas Rangers,Los Angeles Angels,True
San Diego Padres,Arizona Diamondbacks,San Diego Padres,True
Athletics,Atlanta Braves,Athletics,True
Baltimore Orioles,New York Mets,New York Mets,False
Minnesota Twins,Chicago Cubs,Chicago Cubs,False
Cincinnati Reds,Miami Marlins,Cincinnati Reds,True
New York Yankees,Seattle Mariners,Seattle Mariners,False
