Team A,Team B,Winner
St. Louis Cardinals,Minnesota Twins,St. Louis Cardinals
St. Louis Cardinals,Cincinnati Reds,St. Louis Cardinals
St. Louis Cardinals,Cleveland Guardians,St. Louis Cardinals
St. Louis Cardinals,New York Yankees,St. Louis Cardinals
St. Louis Cardinals,Detroit Tigers,St. Louis Cardinals
St. Louis Cardinals,Chicago White Sox,St. Louis Cardinals
St. Louis Cardinals,Tampa Bay Rays,St. Louis Cardinals
St. Louis Cardinals,Boston Red Sox,St. Louis Cardinals
St. Louis Cardinals,Boston Red Sox,St. Louis Cardinals
St. Louis Cardinals,Los Angeles Angels,St. Louis Cardinals
St. Louis Cardinals,San Diego Padres,St. Louis Cardinals
St. Louis Cardinals,New York Yankees,St. Louis Cardinals
St. Louis Cardinals,Seattle Mariners,St. Louis Cardinals
St. Louis Cardinals,Athletics,St. Louis Cardinals
St. Louis Cardinals,Pittsburgh Pirates,St. Louis Cardinals
St. Louis Cardinals,Detroit Tigers,St. Louis Cardinals
St. Louis Cardinals,Baltimore Orioles,St. Louis Cardinals
St. Louis Cardinals,Athletics,St. Louis Cardinals
St. Louis Cardinals,Texas Rangers,St. Louis Cardinals
St. Louis Cardinals,San Francisco Giants,St. Louis Cardinals
St. Louis Cardinals,Miami Marlins,St. Louis Cardinals
St. Louis Cardinals,Washington Nationals,St. Louis Cardinals
St. Louis Cardinals,Cincinnati Reds,St. Louis Cardinals
St. Louis Cardinals,Cincinnati Reds,St. Louis Cardinals
St. Louis Cardinals,Philadelphia Phillies,St. Louis Cardinals
St. Louis Cardinals,Chicago White Sox,St. Louis Cardinals
St. Louis Cardinals,Kansas City Royals,Kansas City Royals
St. Louis Cardinals,Toronto Blue Jays,Toronto Blue Jays
St. Louis Cardinals,San Francisco Giants,San Francisco Giants
St. Louis Cardinals,Toronto Blue Jays,Toronto Blue Jays
St. Louis Cardinals,Boston Red Sox,Boston Red Sox
St. Louis Cardinals,Boston Red Sox,Boston Red Sox
St. Louis Cardinals,Chicago White Sox,Chicago White Sox
St. Louis Cardinals,Arizona Diamondbacks,Arizona Diamondbacks
St. Louis Cardinals,Chicago Cubs,Chicago Cubs
St. Louis Cardinals,New York Mets,New York Mets
St. Louis Cardinals,Detroit Tigers,Detroit Tigers
St. Louis Cardinals,San Francisco Giants,San Francisco Giants
St. Louis Cardinals,Houston Astros,Houston Astros
St. Louis Cardinals,Minnesota Twins,Minnesota Twins
St. Louis Cardinals,Washington Nationals,Washington Nationals
St. Louis Cardinals,Miami Marlins,Miami Marlins
St. Louis Cardinals,Los Angeles Angels,Los Angeles Angels
St. Louis Cardinals,Detroit Tigers,Detroit Tigers
St. Louis Cardinals,Colorado Rockies,Colorado Rockies
St. Louis Cardinals,Los Angeles Angels,Los Angeles Angels
St. Louis Cardinals,San Diego Padres,San Diego Padres
St. Louis Cardinals,Washington Nationals,Washington Nationals
St. Louis Cardinals,Minnesota Twins,Minnesota Twins
Cincinnati Reds,New York Mets,Cincinnati Reds
Cincinnati Reds,Los Angeles Dodgers,Cincinnati Reds
Cincinnati Reds,St. Louis Cardinals,Cincinnati Reds
Cincinnati Reds,Kansas City Royals,Cincinnati Reds
Cincinnati Reds,Miami Marlins,Cincinnati Reds
Cincinnati Reds,Athletics,Cincinnati Reds
Cincinnati Reds,Athletics,Cincinnati Reds
Cincinnati Reds,Baltimore Orioles,Cincinnati Reds
Cincinnati Reds,San Francisco Giants,Cincinnati Reds
Cincinnati Reds,Colorado Rockies,Cincinnati Reds
Cincinnati Reds,Houston Astros,Cincinnati Reds
Cincinnati Reds,San Francisco Giants,Cincinnati Reds
Cincinnati Reds,San Francisco Giants,Cincinnati Reds
Cincinnati Reds,Cleveland Guardians,Cincinnati Reds
Cincinnati Reds,Athletics,Cincinnati Reds
Cincinnati Reds,St. Louis Cardinals,Cincinnati Reds
Cincinnati Reds,Pittsburgh Pirates,Cincinnati Reds
Cincinnati Reds,Los Angeles Dodgers,Cincinnati Reds
Cincinnati Reds,Boston Red Sox,Cincinnati Reds
Cincinnati Reds,Pittsburgh Pirates,Cincinnati Reds
Cincinnati Reds,Atlanta Braves,Cincinnati Reds
Cincinnati Reds,Chicago Cubs,Cincinnati Reds
Cincinnati Reds,Athletics,Cincinnati Reds
Cincinnati Reds,Chicago Cubs,Cincinnati Reds
Cincinnati Reds,Los Angeles Angels,Cincinnati Reds
Cincinnati Reds,San Diego Padres,San Diego Padres
Cincinnati Reds,Texas Rangers,Texas Rangers
Cincinnati Reds,Seattle Mariners,Seattle Mariners
Cincinnati Reds,Houston Astros,Houston Astros
Cincinnati Reds,New York Mets,New York Mets
Cincinnati Reds,Washington Nationals,Washington Nationals
Cincinnati Reds,Arizona Diamondbacks,Arizona Diamondbacks
Cincinnati Reds,Chicago Cubs,Chicago Cubs
Cincinnati Reds,Arizona Diamondbacks,Arizona Diamondbacks
Cincinnati Reds,Pittsburgh Pirates,Pittsburgh Pirates
Cincinnati Reds,Chicago Cubs,Chicago Cubs
Cincinnati Reds,Baltimore Orioles,Baltimore Orioles
Cincinnati Reds,Colorado Rockies,Colorado Rockies
Cincinnati Reds,Washington Nationals,Washington Nationals
Cincinnati Reds,Detroit Tigers,Detroit Tigers
Cincinnati Reds,Colorado Rockies,Colorado Rockies
Cincinnati Reds,Detroit Tigers,Detroit Tigers
Cincinnati Reds,Texas Rangers,Texas Rangers
Cincinnati Reds,Washington Nationals,Washington Nationals
Cincinnati Reds,Athletics,Athletics
Cincinnati Reds,New York Yankees,New York Yankees
Cincinnati Reds,Pittsburgh Pirates,Pittsburgh Pirates
Cincinnati Reds,Colorado Rockies,Colorado Rockies
Cincinnati Reds,Atlanta Braves,Atlanta Braves
Cincinnati Reds,Seattle Mariners,Seattle Mariners
Cincinnati Reds,Los Angeles Angels,Los Angeles Angels
Milwaukee Brewers,Athletics,Milwaukee Brewers
Milwaukee Brewers,Miami Marlins,Milwaukee Brewers
Milwaukee Brewers,Athletics,Milwaukee Brewers
Milwaukee Brewers,Washington Nationals,Milwaukee Brewers
Milwaukee Brewers,Seattle Mariners,Milwaukee Brewers
Milwaukee Brewers,Miami Marlins,Milwaukee Brewers
Milwaukee Brewers,San Diego Padres,Milwaukee Brewers
Milwaukee Brewers,Atlanta Braves,Milwaukee Brewers
Milwaukee Brewers,Cleveland Guardians,Milwaukee Brewers
Milwaukee Brewers,Los Angeles Angels,Milwaukee Brewers
Milwaukee Brewers,Chicago Cubs,Milwaukee Brewers
Milwaukee Brewers,St. Louis Cardinals,Milwaukee Brewers
Milwaukee Brewers,Athletics,Milwaukee Brewers
Milwaukee Brewers,Cleveland Guardians,Milwaukee Brewers
Milwaukee Brewers,Seattle Mariners,Milwaukee Brewers
Milwaukee Brewers,Colorado Rockies,Milwaukee Brewers
Milwaukee Brewers,Los Angeles Angels,Milwaukee Brewers
Milwaukee Brewers,Detroit Tigers,Milwaukee Brewers
Milwaukee Brewers,Kansas City Royals,Milwaukee Brewers
Milwaukee Brewers,Seattle Mariners,Milwaukee Brewers
Milwaukee Brewers,Athletics,Milwaukee Brewers
Milwaukee Brewers,Athletics,Milwaukee Brewers
Milwaukee Brewers,New York Mets,Milwaukee Brewers
Milwaukee Brewers,Miami Marlins,Milwaukee Brewers
Milwaukee Brewers,San Diego Padres,San Diego Padres
Milwaukee Brewers,Cleveland Guardians,Cleveland Guardians
Milwaukee Brewers,Los Angeles Dodgers,Los Angeles Dodgers
Milwaukee Brewers,New York Mets,New York Mets
Milwaukee Brewers,Miami Marlins,Miami Marlins
Milwaukee Brewers,Los Angeles Angels,Los Angeles Angels
Milwaukee Brewers,Chicago White Sox,Chicago White Sox
Milwaukee Brewers,Baltimore Orioles,Baltimore Orioles
Milwaukee Brewers,Texas Rangers,Texas Rangers
Milwaukee Brewers,Miami Marlins,Miami Marlins
Milwaukee Brewers,Los Angeles Angels,Los Angeles Angels
Milwaukee Brewers,Atlanta Braves,Atlanta Braves
Milwaukee Brewers,Houston Astros,Houston Astros
Milwaukee Brewers,Boston Red Sox,Boston Red Sox
Milwaukee Brewers,Kansas City Royals,Kansas City Royals
Milwaukee Brewers,St. Louis Cardinals,St. Louis Cardinals
Milwaukee Brewers,Cincinnati Reds,Cincinnati Reds
Milwaukee Brewers,Cincinnati Reds,Cincinnati Reds
Milwaukee Brewers,Los Angeles Angels,Los Angeles Angels
Milwaukee Brewers,Detroit Tigers,Detroit Tigers
Milwaukee Brewers,Texas Rangers,Texas Rangers
Milwaukee Brewers,Athletics,Athletics
Milwaukee Brewers,Atlanta Braves,Atlanta Braves
Milwaukee Brewers,Athletics,Athletics
Milwaukee Brewers,Cincinnati Reds,Cincinnati Reds
Milwaukee Brewers,New York Yankees,New York Yankees
Pittsburgh Pirates,Seattle Mariners,Pittsburgh Pirates
Pittsburgh Pirates,St. Louis Cardinals,Pittsburgh Pirates
Pittsburgh Pirates,New York Mets,Pittsburgh Pirates
Pittsburgh Pirates,Atlanta Braves,Pittsburgh Pirates
Pittsburgh Pirates,Chicago Cubs,Pittsburgh Pirates
Pittsburgh Pirates,Cincinnati Reds,Pittsburgh Pirates
Pittsburgh Pirates,Kansas City Royals,Pittsburgh Pirates
Pittsburgh Pirates,Los Angeles Angels,Pittsburgh Pirates
Pittsburgh Pirates,Seattle Mariners,Pittsburgh Pirates
Pittsburgh Pirates,Detroit Tigers,Pittsburgh Pirates
Pittsburgh Pirates,Los Angeles Angels,Pittsburgh Pirates
Pittsburgh Pirates,New York Mets,Pittsburgh Pirates
Pittsburgh Pirates,Toronto Blue Jays,Pittsburgh Pirates
Pittsburgh Pirates,Chicago White Sox,Pittsburgh Pirates
Pittsburgh Pirates,New York Mets,Pittsburgh Pirates
Pittsburgh Pirates,Colorado Rockies,Pittsburgh Pirates
Pittsburgh Pirates,Los Angeles Dodgers,Pittsburgh Pirates
Pittsburgh Pirates,St. Louis Cardinals,St. Louis Cardinals
Pittsburgh Pirates,Washington Nationals,Washington Nationals
Pittsburgh Pirates,Seattle Mariners,Seattle Mariners
Pittsburgh Pirates,Washington Nationals,Washington Nationals
Pittsburgh Pirates,Detroit Tigers,Detroit Tigers
Pittsburgh Pirates,Arizona Diamondbacks,Arizona Diamondbacks
Pittsburgh Pirates,Los Angeles Dodgers,Los Angeles Dodgers
Pittsburgh Pirates,Miami Marlins,Miami Marlins
Pittsburgh Pirates,Houston Astros,Houston Astros
Pittsburgh Pirates,Athletics,Athletics
Pittsburgh Pirates,Atlanta Braves,Atlanta Braves
Pittsburgh Pirates,San Francisco Giants,San Francisco Giants
Pittsburgh Pirates,Los Angeles Angels,Los Angeles Angels
Pittsburgh Pirates,San Diego Padres,San Diego Padres
Pittsburgh Pirates,Chicago Cubs,Chicago Cubs
Pittsburgh Pirates,Houston Astros,Houston Astros
Pittsburgh Pirates,Kansas City Royals,Kansas City Royals
Pittsburgh Pirates,Toronto Blue Jays,Toronto Blue Jays
Pittsburgh Pirates,Cincinnati Reds,Cincinnati Reds
Pittsburgh Pirates,Chicago Cubs,Chicago Cubs
Pittsburgh Pirates,Chicago Cubs,Chicago Cubs
Pittsburgh Pirates,Seattle Mariners,Seattle Mariners
Pittsburgh Pirates,Boston Red Sox,Boston Red Sox
Pittsburgh Pirates,Tampa Bay Rays,Tampa Bay Rays
Pittsburgh Pirates,Seattle Mariners,Seattle Mariners
Pittsburgh Pirates,Philadelphia Phillies,Philadelphia Phillies
Pittsburgh Pirates,Atlanta Braves,Atlanta Braves
Pittsburgh Pirates,Tampa Bay Rays,Tampa Bay Rays
Pittsburgh Pirates,Seattle Mariners,Seattle Mariners
Pittsburgh Pirates,Minnesota Twins,Minnesota Twins
Pittsburgh Pirates,Cleveland Guardians,Cleveland Guardians
Pittsburgh Pirates,Seattle Mariners,Seattle Mariners
Pittsburgh Pirates,Athletics,Athletics
Los Angeles Dodgers,Cleveland Guardians,Los Angeles Dodgers
Los Angeles Dodgers,Chicago Cubs,Los Angeles Dodgers
Los Angeles Dodgers,Minnesota Twins,Los Angeles Dodgers
Los Angeles Dodgers,Atlanta Braves,Los Angeles Dodgers
Los Angeles Dodgers,Baltimore Orioles,Los Angeles Dodgers
Los Angeles Dodgers,Chicago Cubs,Los Angeles Dodgers
Los Angeles Dodgers,St. Louis Cardinals,Los Angeles Dodgers
Los Angeles Dodgers,Cincinnati Reds,Los Angeles Dodgers
Los Angeles Dodgers,New York Yankees,Los Angeles Dodgers
Los Angeles Dodgers,Baltimore Orioles,Los Angeles Dodgers
Los Angeles Dodgers,Colorado Rockies,Los Angeles Dodgers
Los Angeles Dodgers,Chicago Cubs,Los Angeles Dodgers
Los Angeles Dodgers,Chicago White Sox,Los Angeles Dodgers
Los Angeles Dodgers,Athletics,Los Angeles Dodgers
Los Angeles Dodgers,Tampa Bay Rays,Los Angeles Dodgers
Los Angeles Dodgers,Baltimore Orioles,Los Angeles Dodgers
Los Angeles Dodgers,San Francisco Giants,Los Angeles Dodgers
Los Angeles Dodgers,San Francisco Giants,Los Angeles Dodgers
Los Angeles Dodgers,Miami Marlins,Los Angeles Dodgers
Los Angeles Dodgers,Pittsburgh Pirates,Los Angeles Dodgers
Los Angeles Dodgers,Texas Rangers,Los Angeles Dodgers
Los Angeles Dodgers,Washington Nationals,Los Angeles Dodgers
Los Angeles Dodgers,Baltimore Orioles,Los Angeles Dodgers
Los Angeles Dodgers,Houston Astros,Los Angeles Dodgers
Los Angeles Dodgers,Cleveland Guardians,Los Angeles Dodgers
Los Angeles Dodgers,Detroit Tigers,Los Angeles Dodgers
Los Angeles Dodgers,New York Mets,Los Angeles Dodgers
Los Angeles Dodgers,Milwaukee Brewers,Los Angeles Dodgers
Los Angeles Dodgers,Philadelphia Phillies,Los Angeles Dodgers
Los Angeles Dodgers,Arizona Diamondbacks,Los Angeles Dodgers
Los Angeles Dodgers,Los Angeles Angels,Los Angeles Dodgers
Los Angeles Dodgers,Chicago Cubs,Chicago Cubs
Los Angeles Dodgers,Atlanta Braves,Atlanta Braves
Los Angeles Dodgers,Miami Marlins,Miami Marlins
Los Angeles Dodgers,Toronto Blue Jays,Toronto Blue Jays
Los Angeles Dodgers,Cincinnati Reds,Cincinnati Reds
Los Angeles Dodgers,Boston Red Sox,Boston Red Sox
Los Angeles Dodgers,Kansas City Royals,Kansas City Royals
Los Angeles Dodgers,Washington Nationals,Washington Nationals
Los Angeles Dodgers,Miami Marlins,Miami Marlins
Los Angeles Dodgers,Cincinnati Reds,Cincinnati Reds
Los Angeles Dodgers,Colorado Rockies,Colorado Rockies
Los Angeles Dodgers,Milwaukee Brewers,Milwaukee Brewers
Los Angeles Dodgers,Detroit Tigers,Detroit Tigers
Los Angeles Dodgers,Milwaukee Brewers,Milwaukee Brewers
Los Angeles Dodgers,Cleveland Guardians,Cleveland Guardians
Los Angeles Dodgers,Boston Red Sox,Boston Red Sox
Los Angeles Dodgers,Colorado Rockies,Colorado Rockies
Los Angeles Dodgers,Boston Red Sox,Boston Red Sox
Los Angeles Dodgers,Baltimore Orioles,Baltimore Orioles
San Francisco Giants,Houston Astros,San Francisco Giants
San Francisco Giants,Pittsburgh Pirates,San Francisco Giants
San Francisco Giants,Washington Nationals,San Francisco Giants
San Francisco Giants,Texas Rangers,San Francisco Giants
San Francisco Giants,Kansas City Royals,San Francisco Giants
San Francisco Giants,Philadelphia Phillies,San Francisco Giants
San Francisco Giants,Cincinnati Reds,San Francisco Giants
San Francisco Giants,New York Mets,San Francisco Giants
San Francisco Giants,Detroit Tigers,San Francisco Giants
San Francisco Giants,Baltimore Orioles,San Francisco Giants
San Francisco Giants,Kansas City Royals,San Francisco Giants
San Francisco Giants,Kansas City Royals,San Francisco Giants
San Francisco Giants,St. Louis Cardinals,San Francisco Giants
San Francisco Giants,New York Yankees,San Francisco Giants
San Francisco Giants,St. Louis Cardinals,San Francisco Giants
San Francisco Giants,Arizona Diamondbacks,San Francisco Giants
San Francisco Giants,Tampa Bay Rays,San Francisco Giants
San Francisco Giants,Kansas City Royals,San Francisco Giants
San Francisco Giants,Milwaukee Brewers,San Francisco Giants
San Francisco Giants,Pittsburgh Pirates,San Francisco Giants
San Francisco Giants,Seattle Mariners,San Francisco Giants
San Francisco Giants,Chicago White Sox,San Francisco Giants
San Francisco Giants,Athletics,San Francisco Giants
San Francisco Giants,New York Mets,San Francisco Giants
San Francisco Giants,Athletics,San Francisco Giants
San Francisco Giants,Detroit Tigers,San Francisco Giants
San Francisco Giants,Arizona Diamondbacks,San Francisco Giants
San Francisco Giants,Toronto Blue Jays,San Francisco Giants
San Francisco Giants,Pittsburgh Pirates,San Francisco Giants
San Francisco Giants,Miami Marlins,Miami Marlins
San Francisco Giants,Seattle Mariners,Seattle Mariners
San Francisco Giants,Kansas City Royals,Kansas City Royals
San Francisco Giants,Pittsburgh Pirates,Pittsburgh Pirates
San Francisco Giants,Athletics,Athletics
San Francisco Giants,Milwaukee Brewers,Milwaukee Brewers
San Francisco Giants,Baltimore Orioles,Baltimore Orioles
San Francisco Giants,Seattle Mariners,Seattle Mariners
San Francisco Giants,St. Louis Cardinals,St. Louis Cardinals
San Francisco Giants,Toronto Blue Jays,Toronto Blue Jays
San Francisco Giants,New York Mets,New York Mets
San Francisco Giants,Toronto Blue Jays,Toronto Blue Jays
San Francisco Giants,Athletics,Athletics
San Francisco Giants,Tampa Bay Rays,Tampa Bay Rays
San Francisco Giants,Arizona Diamondbacks,Arizona Diamondbacks
San Francisco Giants,Pittsburgh Pirates,Pittsburgh Pirates
San Francisco Giants,Baltimore Orioles,Baltimore Orioles
San Francisco Giants,Cincinnati Reds,Cincinnati Reds
San Francisco Giants,Kansas City Royals,Kansas City Royals
San Francisco Giants,San Diego Padres,San Diego Padres
San Francisco Giants,Minnesota Twins,Minnesota Twins
San Diego Padres,Baltimore Orioles,San Diego Padres
San Diego Padres,Washington Nationals,San Diego Padres
San Diego Padres,Boston Red Sox,San Diego Padres
San Diego Padres,Atlanta Braves,San Diego Padres
San Diego Padres,Los Angeles Dodgers,San Diego Padres
San Diego Padres,San Francisco Giants,San Diego Padres
San Diego Padres,Atlanta Braves,San Diego Padres
San Diego Padres,Pittsburgh Pirates,San Diego Padres
San Diego Padres,Seattle Mariners,San Diego Padres
San Diego Padres,Philadelphia Phillies,San Diego Padres
San Diego Padres,Detroit Tigers,San Diego Padres
San Diego Padres,Baltimore Orioles,San Diego Padres
San Diego Padres,Boston Red Sox,San Diego Padres
San Diego Padres,Boston Red Sox,San Diego Padres
San Diego Padres,San Francisco Giants,San Diego Padres
San Diego Padres,Los Angeles Angels,San Diego Padres
San Diego Padres,Colorado Rockies,San Diego Padres
San Diego Padres,Seattle Mariners,San Diego Padres
San Diego Padres,San Francisco Giants,San Diego Padres
San Diego Padres,Tampa Bay Rays,San Diego Padres
San Diego Padres,Texas Rangers,San Diego Padres
San Diego Padres,Seattle Mariners,San Diego Padres
San Diego Padres,Detroit Tigers,San Diego Padres
San Diego Padres,Kansas City Royals,San Diego Padres
San Diego Padres,Atlanta Braves,San Diego Padres
San Diego Padres,Arizona Diamondbacks,San Diego Padres
San Diego Padres,Atlanta Braves,San Diego Padres
San Diego Padres,Seattle Mariners,Seattle Mariners
San Diego Padres,Detroit Tigers,Detroit Tigers
San Diego Padres,Atlanta Braves,Atlanta Braves
San Diego Padres,Milwaukee Brewers,Milwaukee Brewers
San Diego Padres,Chicago White Sox,Chicago White Sox
San Diego Padres,Washington Nationals,Washington Nationals
San Diego Padres,Chicago Cubs,Chicago Cubs
San Diego Padres,Tampa Bay Rays,Tampa Bay Rays
San Diego Padres,Colorado Rockies,Colorado Rockies
San Diego Padres,Cincinnati Reds,Cincinnati Reds
San Diego Padres,Athletics,Athletics
San Diego Padres,Cincinnati Reds,Cincinnati Reds
San Diego Padres,New York Mets,New York Mets
San Diego Padres,Baltimore Orioles,Baltimore Orioles
San Diego Padres,Tampa Bay Rays,Tampa Bay Rays
San Diego Padres,Texas Rangers,Texas Rangers
San Diego Padres,Cleveland Guardians,Cleveland Guardians
San Diego Padres,Cleveland Guardians,Cleveland Guardians
San Diego Padres,Kansas City Royals,Kansas City Royals
San Diego Padres,New York Mets,New York Mets
Arizona Diamondbacks,Cincinnati Reds,Arizona Diamondbacks
Arizona Diamondbacks,Boston Red Sox,Arizona Diamondbacks
Arizona Diamondbacks,Baltimore Orioles,Arizona Diamondbacks
Arizona Diamondbacks,Chicago White Sox,Arizona Diamondbacks
Arizona Diamondbacks,New York Mets,Arizona Diamondbacks
Arizona Diamondbacks,Cincinnati Reds,Arizona Diamondbacks
Arizona Diamondbacks,Tampa Bay Rays,Arizona Diamondbacks
Arizona Diamondbacks,Texas Rangers,Arizona Diamondbacks
Arizona Diamondbacks,Boston Red Sox,Arizona Diamondbacks
Arizona Diamondbacks,Milwaukee Brewers,Arizona Diamondbacks
Arizona Diamondbacks,Chicago White Sox,Arizona Diamondbacks
Arizona Diamondbacks,Athletics,Arizona Diamondbacks
Arizona Diamondbacks,Houston Astros,Arizona Diamondbacks
Arizona Diamondbacks,New York Mets,Arizona Diamondbacks
Arizona Diamondbacks,Kansas City Royals,Arizona Diamondbacks
Arizona Diamondbacks,Athletics,Arizona Diamondbacks
Arizona Diamondbacks,Houston Astros,Arizona Diamondbacks
Arizona Diamondbacks,Pittsburgh Pirates,Arizona Diamondbacks
Arizona Diamondbacks,Miami Marlins,Arizona Diamondbacks
Arizona Diamondbacks,Minnesota Twins,Arizona Diamondbacks
Arizona Diamondbacks,Miami Marlins,Arizona Diamondbacks
Arizona Diamondbacks,Los Angeles Dodgers,Arizona Diamondbacks
Arizona Diamondbacks,New York Yankees,Arizona Diamondbacks
Arizona Diamondbacks,Milwaukee Brewers,Arizona Diamondbacks
Arizona Diamondbacks,Atlanta Braves,Arizona Diamondbacks
Arizona Diamondbacks,Seattle Mariners,Arizona Diamondbacks
Arizona Diamondbacks,New York Yankees,New York Yankees
Arizona Diamondbacks,Cleveland Guardians,Cleveland Guardians
Arizona Diamondbacks,Athletics,Athletics
Arizona Diamondbacks,Washington Nationals,Washington Nationals
Arizona Diamondbacks,New York Yankees,New York Yankees
Arizona Diamondbacks,San Francisco Giants,San Francisco Giants
Arizona Diamondbacks,New York Yankees,New York Yankees
Arizona Diamondbacks,Miami Marlins,Miami Marlins
Arizona Diamondbacks,Houston Astros,Houston Astros
Arizona Diamondbacks,Los Angeles Dodgers,Los Angeles Dodgers
Arizona Diamondbacks,Philadelphia Phillies,Philadelphia Phillies
Arizona Diamondbacks,Pittsburgh Pirates,Pittsburgh Pirates
Arizona Diamondbacks,Colorado Rockies,Colorado Rockies
Arizona Diamondbacks,Chicago Cubs,Chicago Cubs
Arizona Diamondbacks,Colorado Rockies,Colorado Rockies
Arizona Diamondbacks,Los Angeles Dodgers,Los Angeles Dodgers
Arizona Diamondbacks,Tampa Bay Rays,Tampa Bay Rays
Arizona Diamondbacks,Detroit Tigers,Detroit Tigers
Arizona Diamondbacks,Kansas City Royals,Kansas City Royals
Arizona Diamondbacks,Cincinnati Reds,Cincinnati Reds
Arizona Diamondbacks,Kansas City Royals,Kansas City Royals
Arizona Diamondbacks,Houston Astros,Houston Astros
Arizona Diamondbacks,Kansas City Royals,Kansas City Royals
Arizona Diamondbacks,San Diego Padres,San Diego Padres
Colorado Rockies,Chicago Cubs,Colorado Rockies
Colorado Rockies,Washington Nationals,Colorado Rockies
Colorado Rockies,Cincinnati Reds,Colorado Rockies
Colorado Rockies,San Diego Padres,Colorado Rockies
Colorado Rockies,Philadelphia Phillies,Colorado Rockies
Colorado Rockies,Detroit Tigers,Colorado Rockies
Colorado Rockies,Philadelphia Phillies,Colorado Rockies
Colorado Rockies,Seattle Mariners,Colorado Rockies
Colorado Rockies,Seattle Mariners,Seattle Mariners
Colorado Rockies,Arizona Diamondbacks,Arizona Diamondbacks
Colorado Rockies,Athletics,Athletics
Colorado Rockies,Pittsburgh Pirates,Pittsburgh Pirates
Colorado Rockies,Boston Red Sox,Boston Red Sox
Colorado Rockies,Texas Rangers,Texas Rangers
Colorado Rockies,Pittsburgh Pirates,Pittsburgh Pirates
Colorado Rockies,Baltimore Orioles,Baltimore Orioles
Colorado Rockies,Baltimore Orioles,Baltimore Orioles
Colorado Rockies,Kansas City Royals,Kansas City Royals
Colorado Rockies,Toronto Blue Jays,Toronto Blue Jays
Colorado Rockies,Texas Rangers,Texas Rangers
Colorado Rockies,Detroit Tigers,Detroit Tigers
Colorado Rockies,Athletics,Athletics
Colorado Rockies,Houston Astros,Houston Astros
Colorado Rockies,Baltimore Orioles,Baltimore Orioles
Colorado Rockies,Athletics,Athletics
Colorado Rockies,Pittsburgh Pirates,Pittsburgh Pirates
Colorado Rockies,Chicago White Sox,Chicago White Sox
Colorado Rockies,Los Angeles Angels,Los Angeles Angels
Colorado Rockies,Arizona Diamondbacks,Arizona Diamondbacks
Colorado Rockies,Seattle Mariners,Seattle Mariners
Colorado Rockies,Houston Astros,Houston Astros
Colorado Rockies,Cincinnati Reds,Cincinnati Reds
Colorado Rockies,Chicago White Sox,Chicago White Sox
Colorado Rockies,New York Mets,New York Mets
Colorado Rockies,Chicago Cubs,Chicago Cubs
Colorado Rockies,Milwaukee Brewers,Milwaukee Brewers
Colorado Rockies,Athletics,Athletics
Colorado Rockies,Detroit Tigers,Detroit Tigers
Colorado Rockies,New York Mets,New York Mets
Colorado Rockies,Houston Astros,Houston Astros
Colorado Rockies,Chicago Cubs,Chicago Cubs
Colorado Rockies,Pittsburgh Pirates,Pittsburgh Pirates
Colorado Rockies,Chicago White Sox,Chicago White Sox
Colorado Rockies,Arizona Diamondbacks,Arizona Diamondbacks
Colorado Rockies,Texas Rangers,Texas Rangers
Colorado Rockies,St. Louis Cardinals,St. Louis Cardinals
Colorado Rockies,Cleveland Guardians,Cleveland Guardians
Colorado Rockies,Tampa Bay Rays,Tampa Bay Rays
Colorado Rockies,New York Yankees,New York Yankees
